,BM25,TF-IDF,Dirichlet LM,MonoT5,RankVicuna,RankZephyr,BM25+KORSCE,BM25+REdORank
cRBP@10_q1,0.03471035957336425,0.03471035957336425,0.03471035957336425,0.03471035957336425,0.03471035957336425,0.03471035957336425,0.0177717041015625,0.011373890625
cRBP@10_q2,0.03640778671875,0.03640778671875,0.029126229375,0.029126229375,0.045509733398437495,0.03640778671875,0.0,0.0
cRBP@10_q3,0.0,0.0,0.0,0.010071862516581733,0.010071862516581733,0.010071862516581733,0.0,0.0
cRBP@10_q4,0.034478356933593746,0.034478356933593746,0.0,0.04309794616699219,0.027582685546875003,0.053872432708740224,0.0,0.0
cRBP@10_q5,0.017003848129280894,0.017003848129280894,0.02656851270200139,0.006964776193753454,0.013603078503424711,0.0,0.0,0.0
cRBP@10_q6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.005594965600000001
cRBP@10_q7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
cRBP@10_q8,0.04084303857336425,0.04084303857336425,0.04084303857336425,0.049682720413208,0.03471035957336425,0.03471035957336425,0.0177717041015625,0.011373890625
cRBP@10_q9,0.07339767988928857,0.07339767988928857,0.07339767988928857,0.07339767988928857,0.07339767988928857,0.07339767988928857,0.04697451512914468,0.0
cRBP@10_q10,0.021254810161601113,0.021254810161601113,0.02656851270200139,0.021254810161601113,0.010882462802739771,0.008705970242191816,0.0,0.008705970242191816
cRBP@10_q11,0.0,0.0,0.028605083465576168,0.0,0.0,0.0,0.0,0.0
cRBP@10_q12,0.014118661787017702,0.014118661787017702,0.020364544738345747,0.01167918766748371,0.008476712716350122,0.010426646906033024,0.010579070039512273,0.006770604825287854
cRBP@10_q13,0.00965148155434113,0.00965148155434113,0.007721185243472905,0.0061769481947783235,0.004941558555822658,0.0061769481947783235,0.0,0.007721185243472905
cRBP@10_q14,0.009785474698833474,0.009785474698833474,0.009785474698833474,0.006262703807253425,0.00782837975906678,0.005010163045802741,0.0,0.0
cRBP@10_q15,0.006964776193753454,0.006964776193753454,0.017003848129280894,0.02656851270200139,0.005571820955002763,0.0,0.0,0.003565965411201769
cRBP@10_q16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0025715836800000004
cRBP@10_q17,0.03471035957336425,0.03471035957336425,0.03471035957336425,0.03471035957336425,0.03471035957336425,0.03471035957336425,0.0177717041015625,0.011373890625
cRBP@10_q18,0.07339767988928857,0.07339767988928857,0.07339767988928857,0.07339767988928857,0.07339767988928857,0.07339767988928857,0.04697451512914468,0.0
cRBP@10_q19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
cRBP@10_q20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
