Ranker,kid-friend,,,,,,,requik,,,,,,
,nDCG@10,RBP@10,MRR,MRR$_{read}$,MRR$_{edu}$,MRR$_{obj}$,cRBP@10,nDCG@10,RBP@10,MRR,MRR$_{read}$,MRR$_{edu}$,MRR$_{obj}$,cRBP@10
BM25,0.599,0.540,0.763,0.493,0.199,0.671,0.065,0.329,0.072,0.277,0.214,0.002,0.185,0.008
TF-IDF,0.587,0.537,0.744,0.469,0.199,0.670,0.065,0.330,0.072,0.277,0.214,0.002,0.185,0.008
DirichletLM,0.583,0.527,0.803,0.477,0.200,0.679,0.064,0.359,0.079,0.296,0.234,0.002,0.208,0.009
MonoT5,0.643,0.572,0.748,0.496,0.162,0.644,0.063,0.342,0.075,0.278,0.235,0.003,0.163,0.009
RankVicuna,0.602,0.543,0.779,0.509,0.199,0.671,0.065,0.277,0.061,0.215,0.189,0.004,0.129,0.008
RankZephyr,0.644,0.580,0.809,0.499,0.176,0.662,0.070,0.288,0.063,0.208,0.178,0.003,0.114,0.008
KORSCE,,,,,,,,,,,,,,
ReDORank,,,,,,,,,,,,,,
